FIPS,State,County,STATUS
39153,Summit County,OH,MICRO
21225,Union County,KY,NONE
21021,Boyle County,KY,MICRO
12059,Holmes County,FL,NONE
12019,Clay County,FL,MICRO
18073,Jasper County,IN,MICRO
48445,Terry County,TX,NONE
13007,Baker County,GA,MICRO
08017,Cheyenne County,CO,NONE
31025,Cass County,NE,MICRO
06079,San Luis Obispo County,CA,MICRO
31127,Nemaha County,NE,NONE
47179,Washington County,TN,MICRO
31095,Jefferson County,NE,NONE
45037,Edgefield County,SC,MICRO
20033,Comanche County,KS,NONE
48397,Rockwall County,TX,MICRO
37017,Bladen County,NC,NONE
05047,Franklin County,AR,NONE
72059,Guayanilla Municipio,PR,MICRO
25005,Bristol County,MA,MICRO
30073,Pondera County,MT,NONE
27117,Pipestone County,MN,NONE
08011,Bent County,CO,NONE
48283,La Salle County,TX,NONE
04019,Pima County,AZ,MICRO
27111,Otter Tail County,MN,MICRO
72105,Naranjito Municipio,PR,MICRO
22067,Morehouse Parish,LA,MICRO
26111,Midland County,MI,MICRO
16055,Kootenai County,ID,MICRO
25019,Nantucket County,MA,NONE
23013,Knox County,ME,NONE
17019,Champaign County,IL,MICRO
53015,Cowlitz County,WA,MICRO
12095,Orange County,FL,MICRO
01059,Franklin County,AL,NONE
48089,Colorado County,TX,NONE
39007,Ashtabula County,OH,MICRO
01069,Houston County,AL,MICRO
17191,Wayne County,IL,NONE
19029,Cass County,IA,NONE
31043,Dakota County,NE,MICRO
48063,Camp County,TX,NONE
13115,Floyd County,GA,MICRO
48375,Potter County,TX,MICRO
49053,Washington County,UT,MICRO
26079,Kalkaska County,MI,MICRO
24043,Washington County,MD,MICRO
30083,Richland County,MT,NONE
49029,Morgan County,UT,MICRO
30075,Powder River County,MT,NONE
28163,Yazoo County,MS,MICRO
36083,Rensselaer County,NY,MICRO
25009,Essex County,MA,MICRO
24029,Kent County,MD,NONE
17137,Morgan County,IL,MICRO
01023,Choctaw County,AL,NONE
19125,Marion County,IA,NONE
48231,Hunt County,TX,MICRO
47147,Robertson County,TN,MICRO
21111,Jefferson County,KY,MICRO
35037,Quay County,NM,NONE
13137,Habersham County,GA,MICRO
31109,Lancaster County,NE,MICRO
17039,De Witt County,IL,MICRO
30025,Fallon County,MT,NONE
19055,Delaware County,IA,NONE
48029,Bexar County,TX,MICRO
38035,Grand Forks County,ND,MICRO
01053,Escambia County,AL,NONE
48153,Floyd County,TX,NONE
54011,Cabell County,WV,MICRO
56015,Goshen County,WY,NONE
19041,Clay County,IA,MICRO
13151,Henry County,GA,MICRO
10003,New Castle County,DE,MICRO
42065,Jefferson County,PA,NONE
17013,Calhoun County,IL,MICRO
13009,Baldwin County,GA,MICRO
26077,Kalamazoo County,MI,MICRO
27001,Aitkin County,MN,NONE
42033,Clearfield County,PA,MICRO
13219,Oconee County,GA,MICRO
08081,Moffat County,CO,MICRO
21003,Allen County,KY,MICRO
13081,Crisp County,GA,MICRO
20123,Mitchell County,KS,NONE
51169,Scott County,VA,MICRO
72041,Cidra Municipio,PR,MICRO
05131,Sebastian County,AR,MICRO
05013,Calhoun County,AR,MICRO
42077,Lehigh County,PA,MICRO
46107,Potter County,SD,NONE
72015,Arroyo Municipio,PR,MICRO
40107,Okfuskee County,OK,NONE
48455,Trinity County,TX,MICRO
36003,Allegany County,NY,NONE
18085,Kosciusko County,IN,MICRO
31055,Douglas County,NE,MICRO
23015,Lincoln County,ME,NONE
12131,Walton County,FL,MICRO
48457,Tyler County,TX,NONE
12113,Santa Rosa County,FL,MICRO
29221,Washington County,MO,NONE
28091,Marion County,MS,NONE
51155,Pulaski County,VA,MICRO
53029,Island County,WA,MICRO
19097,Jackson County,IA,NONE
29043,Christian County,MO,MICRO
20075,Hamilton County,KS,NONE
20097,Kiowa County,KS,NONE
31049,Deuel County,NE,NONE
05093,Mississippi County,AR,MICRO
49011,Davis County,UT,MICRO
31149,Rock County,NE,NONE
39065,Hardin County,OH,NONE
04005,Coconino County,AZ,MICRO
35049,Santa Fe County,NM,MICRO
51011,Appomattox County,VA,MICRO
18033,DeKalb County,IN,MICRO
21023,Bracken County,KY,MICRO
48429,Stephens County,TX,NONE
21069,Fleming County,KY,NONE
55063,La Crosse County,WI,MICRO
42019,Butler County,PA,MICRO
19065,Fayette County,IA,NONE
36067,Onondaga County,NY,MICRO
29075,Gentry County,MO,NONE
08015,Chaffee County,CO,NONE
47141,Putnam County,TN,MICRO
01109,Pike County,AL,MICRO
29033,Carroll County,MO,NONE
48227,Howard County,TX,MICRO
13163,Jefferson County,GA,NONE
37191,Wayne County,NC,MICRO
20105,Lincoln County,KS,NONE
21073,Franklin County,KY,MICRO
26033,Chippewa County,MI,MICRO
36031,Essex County,NY,NONE
40007,Beaver County,OK,NONE
72101,Morovis Municipio,PR,MICRO
29083,Henry County,MO,NONE
06061,Placer County,CA,MICRO
24025,Harford County,MD,MICRO
